trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
72661,2023-12-22,454.20,519800,454.27,456.95,450.33,8
72663,2023-12-26,455.76,470200,453.19,456.52,451.54,8
72665,2023-12-27,457.49,419100,455.50,458.00,454.18,8
72667,2023-12-28,457.50,414100,458.30,461.71,457.24,8
72669,2023-12-29,462.98,481300,459.84,464.35,457.99,8
72671,2024-01-02,473.42,739600,462.70,473.42,462.70,8
72673,2024-01-03,480.34,1288000,476.24,485.22,476.24,8
72675,2024-01-04,474.55,881300,476.39,481.76,474.25,8
72677,2024-01-05,478.19,579200,476.88,479.46,472.49,8
72679,2024-01-08,476.63,666900,480.64,482.63,470.11,8
72681,2024-01-09,481.06,904900,475.39,483.12,471.18,8
72683,2024-01-10,483.69,609300,482.52,485.91,479.37,8
72685,2024-01-11,488.84,590700,485.00,489.07,483.99,8
72687,2024-01-12,485.32,438800,487.68,489.73,484.79,8
72689,2024-01-16,488.50,510700,486.51,489.77,485.01,8
72691,2024-01-17,485.82,618700,489.49,494.76,485.35,8
72693,2024-01-18,493.00,789800,483.83,494.76,480.14,8
72695,2024-01-19,484.60,876300,493.24,494.30,484.27,8
72697,2024-01-22,487.32,777000,484.52,490.13,483.32,8
72699,2024-01-23,485.37,582800,484.69,486.78,483.13,8
72701,2024-01-24,485.00,496500,485.69,488.01,484.25,8
72703,2024-01-25,486.33,742600,484.16,486.43,478.65,8
72705,2024-01-26,485.27,370800,487.10,487.96,484.03,8
72707,2024-01-29,486.46,496800,485.40,488.33,484.42,8
72709,2024-01-30,490.02,590300,488.26,490.23,484.10,8
72711,2024-01-31,499.89,1073200,494.74,507.21,494.74,8
72713,2024-02-01,501.85,733600,497.62,503.81,487.34,8
72715,2024-02-02,504.45,691200,503.78,508.09,502.03,8
